#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg,"is the graphical server pack."
,lightdm,"is the display manager"
A,lightdm-webkit2-greeter,"is the greeter."
,picom,"is the compositor for Xorg."
,ffmpeg,"can record and splice video and audio on the command line."
,man-db,"lets you read man pages of programs."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pavucontrol,"is a GUI audio"
,pamixer,"is a command-line audio interface."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,vim,"the heretic editor."
,ssh,"you can access other stuff from it."
,xdotool,"provides window action utilities on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,highlight,"can highlight code output."
A,emacs-native-comp-git,"is the heart of the OS."
A,picom,"the statusbar."
A,i3-lock,"screenlocker program."
A,spotify,"is a proprietory music streaming service."
,vlc,"is your media player"
,libreoffice-fresh,"allows you to view the uncivilized formats of other people."
